,STOCK_CODE,STOCK_NAME,total
0,PESTCI4FNG,Royal Delfin,1286
1,XESTCIB4FU,Teide National Park,1207
2,XESTCIBO3U,Loro Express Exclusive,1119
3,PESTCI4FXQ,Mts. Inselrundfahrt - Tour de Ile,1008
4,XESTCIBCSG,Teide Masca (Grand Tour),934
5,XESTCIBPNI,Freebird (3H Vip Exclusive),747
6,XESTCIBSBI,Mts. Teide South,747
7,PESTCI4IJM,Twin Tickets,657
8,PESTCI4IGS,Teleferico / Cable Car,576
9,XESTCI9VN2,Teide By Night And Romantic Tour Only For Adults ,530
10,XESTCIBIDK,Teide Half Day Exclusive,514
11,PESTCI4HYM,Jeep Safari Teide Masca Sur,453
12,XESTCIB2R4,Freebird,435
13,XESTCIBCTW,Music Hall Tavern,433
14,PESTCI4FN8,Submarino Safari,406
15,PESTCI4HYS,Gomera Safari Tour ,379
16,XESTCIB26W,San Miguel Castle,376
17,PESTCI4SUG,Loro Parque Express,352
18,XESTCIB26U,Flipper Uno,269
19,LESTCI5XRO,Fred Olsen,253
20,PESTCI4KNA,Mts. La Gomera,251
21,PESTCI6CBQ,Santa Cruz - La Laguna - Taganana,245
22,PESTCI4FLK,La Gomera Tour,243
23,XESTCIC1JG,Teleferico Exclusive,240
24,LESTCI4FWU,Loro Parque (Entrance),231
